Name,Quantity,Component
"BAT1",1," 9V Battery"
"U1",1," 5V Regulator [LM7805]"
"U2, U3",2," Dual comparator"
"Meter1, Meter2, Meter3, Meter4, Meter5",5,"Voltage Multimeter"
"Rpot1, Rpot2, Rpot3, Rpot4",4,"10 kΩ Potentiometer"
"D1, D2",2,"Red LED"
"PIEZO1",1," Piezo"
"M1",1," DC Motor"
"D3",1," Diode"
"U5",1," Timer"
"RRpu1",1,"4.7 kΩ Resistor"
"R1, R2",2,"330 Ω Resistor"
"RRpu2",1,"10 kΩ Resistor"
"C1, C2, Ccup3",3,"0.1 uF Capacitor"
"RRa, RRbase",2,"1 kΩ Resistor"
"RRb",1,"47 kΩ Resistor"
"CCt",1,"10 uF Capacitor"
"C3",1,"0.01 uF Capacitor"
"T1",1," NPN Transistor (BJT)"
